"business_name","trade_category","region","phone","description","listing_url","source_url"
"Exotic Electrical NZ Ltd.","Electricians","Auckland","0210 236 7870","Exotic Electrical NZ is a licensed Auckland electrical company run by Avi, a NZ Registered Electrical Inspector with over 14 years of hands-on experience in the industry. We specialise in heat pump installations, switchboard upgrades, EV charger installations, LED lighting, CCTV security systems, and residential electrical repairs. Whether you need a single job done or a full electrical assessment of your home, we treat every property the way we would treat our own. Every installation is completed to current New Zealand electrical standards with full compliance documentation provided. No shortcuts, no guesswork. We service all of Auckland including Botany Downs, Howick, Pakuranga, Manukau, Henderson, Takapuna, and the CBD. Honest pricing, quality workmanship, and a licensed electrician who shows up on time and gets the job done properly the first time. Call Avi on 0210 236 7870 or visit exoticelectrical.co.nz for a free quote.","https://tradehq.co.nz/directory/exotic-electrical-nz-ltd","https://tradehq.co.nz/business-category/electricians"
"Christchurch Electricians – Your Trusted Local Residential Electricians","Electricians","Canterbury","0800 124 003","Christchurch Electricians provides professional residential electrical services throughout Christchurch and Canterbury, including emergency electrical repairs, lighting installation, ceiling fan installation, smoke alarm installation, switchboard upgrades, rewiring, power point installation, and electrical safety inspections. https://christchurchelectricians.nz","https://tradehq.co.nz/directory/christchurch-electricians-your-trusted-local-residential-electricians","https://tradehq.co.nz/business-category/electricians"
"Mike’s Sparky Services","Electricians","Auckland","027 485 2431","Looking for a reliable electrician in Mt Albert? Mike’s Sparky Services provides expert electrical solutions for residential and commercial properties. Our licensed electricians offer a range of services, including electrical installations, repairs, upgrades, and maintenance. Whether you need wiring, lighting, switchboard upgrades, or emergency electrical work, we deliver safe, efficient, and code-compliant services tailored to your needs. With a focus on quality workmanship and customer satisfaction, we ensure every job is done right the first time. Trust Mike’s Sparky Services for dependable electrical work in Mt Albert. Contact us today for a consultation and experience the difference with our professional electrical solutions. If you’re looking for a trusted electrician in Blockhouse Bay or electrician in Epsom, look no further than Mike’s Sparky Services. Our team of licensed electricians is dedicated to providing top-quality electrical services for both residential and commercial properties. From electrical repairs and installations to upgrades and maintenance, we offer a wide range of services to ensure your home or business stays safe and fully functional. Whether you need lighting solutions, rewiring, or urgent electrical work, we deliver reliable, efficient service with a focus on customer satisfaction.","https://tradehq.co.nz/directory/mikes-sparky-services","https://tradehq.co.nz/business-category/electricians"
"Cyberelectrix Ltd – Electrical, Solar & IoT","Electricians","Auckland","0275733478","CyberElectrix is one of New Zealand’s trusted electrical service providers; specializing in residential, commercial, and industrial electrical solutions. From simple domestic repairs to remote-monitored solar installations and complex building automation/management system (BAS/BMS) installations, our licensed and insured electricians deliver quality workmanship with 24/7 emergency service*. We combine traditional electrical expertise with cutting-edge technology to power your modern lifestyle.","https://tradehq.co.nz/directory/cyberelectrix-ltd-electrical-solar-iot","https://tradehq.co.nz/business-category/electricians"
"Brokenshire Plumbing & Electrical","Electricians","Manawatū-Whanganui","06 353 6082","Brokenshire Plumbing & Electrical provides reliable plumbing and electrical services across Palmerston North and the wider Manawatū region. The team supports residential and commercial clients with repairs, maintenance, and installations—focused on quality workmanship, safety, clear communication, and compliant outcomes.","https://tradehq.co.nz/directory/brokenshire-plumbing-electrical","https://tradehq.co.nz/business-category/electricians"
"Response Plumbing – 24/7 Auckland Plumbers, Gasfitters & Drainlayers","Plumbers","Auckland","0800 877 586","Response Plumbing — Auckland’s 24/7 Plumbing, Gasfitting & Drainlaying Specialists Looking for a reliable Auckland plumber? Response Plumbing has tradesmen on the road right across the city, ready to respond fast — day or night, weekday or weekend. We’re a fully licensed plumbing, gasfitting, and drainlaying company servicing every corner of Auckland, with rapid callouts often within the hour for emergencies. Suburbs We Cover From the tip of the North Shore to the bottom of South Auckland, we look after homes and businesses in Albany, Browns Bay, Mairangi Bay, Takapuna, Devonport, Birkenhead, Glenfield, Northcote, Hobsonville, Whenuapai, Westgate, Massey, Henderson, Te Atatū, New Lynn, Titirangi, Avondale, Mount Albert, Pt Chevalier, Ponsonby, Grey Lynn, Herne Bay, Newmarket, Parnell, Remuera, Epsom, Mount Eden, Onehunga, Ellerslie, Greenlane, Mission Bay, St Heliers, Glen Innes, Panmure, Howick, Botany, Pakuranga, Half Moon Bay, Manukau, Papatoetoe, Mangere, Papakura, Manurewa, Takanini — and everywhere in between. Our Services Our certified team handles the complete range of residential and commercial work: – Emergency plumbing — burst pipes, flooding, no hot water, gas leaks, blocked toilets – Drain unblocking — hydro jetting, CCTV drain inspections, pipe relining, gully trap repairs – Hot water — cylinder repairs and replacements, gas califonts, continuous flow systems – Gasfitting — gas hob and cooktop installation, gas leak detection, certification, LPG and natural gas connections – Leak detection — non-invasive water leak location for slab, wall, and underground leaks – Renovations — bathroom, kitchen, and laundry plumbing fit-outs – Drainage — stormwater and wastewater repairs, new drain installations – New builds — full plumbing, gas, and drainage for new homes and developments – Maintenance contracts — for landlords, property managers, and commercial premises – Additional services — tap and toilet repairs, backflow prevention, spouting and roof plumbing Why Aucklanders Choose Us Every member of our team is registered with the Plumbers, Gasfitters and Drainlayers Board of New Zealand, so you can be confident every job is completed to code and to the highest workmanship standards. We turn up when we say we will, quote transparently with no hidden extras, communicate clearly throughout the job, and back our work with solid guarantees. Whether it’s a midnight burst pipe, a Sunday morning blocked drain, a gas appliance install, or a full bathroom renovation — we’ve got the team, the tools, and the experience to sort it properly the first time. Recognised & Recommended Response Plumbing is featured on MoneyHub’s list of recommended Auckland plumbing providers and has earned hundreds of 5-star reviews from satisfied customers across the region — reflecting our consistent focus on quality, reliability, and honest service. Get in Touch Call 0800 877 586 anytime — 24 hours a day, 7 days a week — or visit responseplumbing.co.nz for a free, no-obligation quote.","https://tradehq.co.nz/directory/response-plumbing-24-7-auckland-plumbers-gasfitters-drainlayers","https://tradehq.co.nz/business-category/plumbers"
"China Topper Valve Manufacturer Co., Ltd","Plumbers","Bay of Plenty","","As your trusted partner for fluid control solutions, China Topper Valve Manufacturer Co., Ltd was founded in Wenzhou, China in 1986. We operate a 62,000‑square‑meter production facility, supported by two modern subsidiary plants, a team of over 500 skilled professionals, and more than 200 units of state‑of‑the‑art manufacturing equipment. We specialize in delivering premium, tailored valve manufacturing solutions to global clients. All our valves are engineered in full adherence to major international standards including ANSI, API, BS, DIN, GOST and GB. Widely deployed across core industrial sectors such as oil & gas, petrochemicals, refining, general chemical processing, shipbuilding, power generation, and transmission pipelines, our products serve as the core component of industrial fluid control systems and underpin the reliable performance of your critical engineering projects. We uphold uncompromising standards for product quality and customer service through globally recognized accreditations. Our comprehensive certification portfolio covers ISO 9001 Quality Management, API, CE Mark, TS Level A1, ISO 14001 Environmental Management System, and OHS 45001 Occupational Health and Safety Management System. To drive continuous quality enhancement, we have established an in‑house professional testing institute. Leveraging sophisticated inspection technologies, we implement rigorous quality checks on every industrial valve manufactured onsite. This stringent testing ensures stable, long‑term operation across diverse working conditions, fully meeting your most stringent performance requirements. We sincerely anticipate building long‑term cooperative partnerships with you. China manufacturer offers high-quality industrial products with competitive pricing and advanced production capabilities.","https://tradehq.co.nz/directory/china-topper-valve-manufacturer-co-ltd","https://tradehq.co.nz/business-category/plumbers"
"KZN Plumbing Hamilton","Plumbers","Hamilton","027 324 0149","Our experienced team of plumbers offer reliable and efficient plumbing services and day-to-day maintenance for both commercial and residential establishments. Contact KZN Plumbers Hamilton for professional plumbing services, maintenance, emergency plumbing repairs, and installations. View our comprehensive list of services below, or contact our friendly team with any queries.","https://tradehq.co.nz/directory/kzn-plumbing-hamilton","https://tradehq.co.nz/business-category/plumbers"
"Seeka Plumbing","Plumbers","Nelson","02102358720","We pride ourselves on delivering top quality plumbing services with a strong focus on reliability, professionalism, and genuine customer care. Whether it’s a leaking tap, a full renovation, or new home plumbing, we bring over 20 years of experience and workmanship you can trust. Based in Nelson, Tasman region and fully licensed, we handle everything from residential maintenance and repairs to full scale plumbing installations. We work closely with homeowners, builders, and property professionals to deliver solutions that are both practical and cost effective.","https://tradehq.co.nz/directory/seeka-plumbing","https://tradehq.co.nz/business-category/plumbers"
"Birkenhead Plumbing | North Shore","Plumbers","Auckland","+64 27 444 1132","Your plumbing specialist in Birkenhead, North Shore. Our experts are available 7 days a week, we are value for money. We are your complete plumbing service, we help with installations and design for your plumbing needs. For all residential and commercial needs. https://www.birkenheadplumbing.co.nz","https://tradehq.co.nz/directory/birkenhead-plumbing-north-shore","https://tradehq.co.nz/business-category/plumbers"
